STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-01,,-2,-13,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-02,,4,-17,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-03,,26,2,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-04,,32,11,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-05,,22,2,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-06,,2,-12,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-07,,11,-19,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-08,,28,4,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-09,,5,-6,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-10,,4,-10,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-11,,37,3,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-12,,38,27,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-13,,34,25,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-14,,25,9,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-15,,16,-8,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-16,,28,8,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-17,,30,16,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-18,,43,9,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-19,,9,-6,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-20,,3,-13,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-21,,23,-9,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-22,,25,6,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-23,,8,-14,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-24,,10,-5,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-25,,2,-13,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-26,,28,-17,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-27,,34,3,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-28,,13,-11,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-29,,27,4,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-30,,22,13,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-01-31,,29,12,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-01,,34,2,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-02,,5,-5,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-03,,6,-12,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-04,,8,-5,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-05,,24,-4,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-06,,22,3,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-07,,20,-5,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-08,,44,14,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-02-09,,37,20,
